# ============================================
# MCP Server Dependencies
# ============================================
mcp>=1.0.0

# ============================================
# 科学计算与数据分析核心库
# ============================================
numpy>=1.24.0              # 数值计算基础
pandas>=2.0.0              # 数据分析和处理
scipy>=1.10.0              # 科学计算（统计、优化、信号处理）
matplotlib>=3.7.0          # 数据可视化
seaborn>=0.12.0            # 统计数据可视化
plotly>=5.14.0             # 交互式可视化
scikit-learn>=1.3.0        # 机器学习
statsmodels>=0.14.0        # 统计建模

# ============================================
# 数据处理与存储
# ============================================
openpyxl>=3.1.0            # Excel 文件读写 (.xlsx)
xlrd>=2.0.1                # Excel 文件读取 (.xls)
xlsxwriter>=3.1.0          # Excel 文件写入（高级格式）
python-docx>=0.8.11        # Word 文档 (.docx) 处理
pypdf>=3.15.0              # PDF 读取和提取（替代PyPDF2）
pdfplumber>=0.9.0          # PDF 表格提取
reportlab>=4.0.0           # PDF 生成
pillow>=10.0.0             # 图像处理
python-pptx>=0.6.21        # PowerPoint 处理

# ============================================
# 文本处理与解析
# ============================================
beautifulsoup4>=4.12.0     # HTML/XML 解析
lxml>=4.9.0                # XML/HTML 处理（高性能）
markdown>=3.4.0            # Markdown 处理
pyyaml>=6.0                # YAML 文件处理
toml>=0.10.2               # TOML 文件处理
python-dotenv>=1.0.0       # .env 环境变量加载
jinja2>=3.1.0              # 模板引擎

# ============================================
# 网络请求与API
# ============================================
requests>=2.31.0           # HTTP 请求（同步）
httpx>=0.24.0              # HTTP 客户端（支持同步和异步）
urllib3>=2.0.0             # HTTP 连接池

# ============================================
# 数据库与持久化
# ============================================
sqlalchemy>=2.0.0          # SQL ORM 和数据库工具
pymongo>=4.4.0             # MongoDB 驱动
redis>=4.6.0               # Redis 客户端

# ============================================
# 日期时间处理
# ============================================
python-dateutil>=2.8.2     # 日期时间扩展
pytz>=2023.3               # 时区处理
arrow>=1.2.3               # 更友好的日期时间库

# ============================================
# 实用工具
# ============================================
tqdm>=4.65.0               # 进度条显示
colorama>=0.4.6            # 终端颜色输出
rich>=13.4.0               # 富文本终端输出
click>=8.1.0               # 命令行工具
loguru>=0.7.0              # 现代日志库

# ============================================
# 数据验证与序列化
# ============================================
pydantic>=2.0.0            # 数据验证
marshmallow>=3.19.0        # 对象序列化/反序列化
jsonschema>=4.18.0         # JSON Schema 验证

# ============================================
# 加密与安全
# ============================================
cryptography>=41.0.0       # 加密库
bcrypt>=4.0.0              # 密码哈希
pyjwt>=2.8.0               # JWT 令牌

# ============================================
# 数据格式转换
# ============================================
chardet>=5.1.0             # 字符编码检测
python-magic>=0.4.27       # 文件类型识别
tabulate>=0.9.0            # 表格格式化输出
